titulo,nota,texto
"A IMPORTÂNCIA DO TRABALHO E O PROGRESSO SOCIAL ",66,"                   De acordo com a perspectiva filosófica de Blaise Pascal, aqui que não é entendido pelo homem está sujeito a negação.Nesse viés, quando o assunto é a importância do trabalho humano através da ciência e da moderna tecnologia, na transformação, valorização e preservação da natureza para o bem estar, pensando em um progesso social, é notório que o ideal persiste na realidade da sociedade.Dessa forma, a falta de conscientização e investimentos em tecnologias para esse fim, corraboram para uma problemática.                   A princípio, pensador da antiguidade, Pitágoras, disse que o homem é mesquinho por não conseguir entender os bens que estão ao seu alcance.Em suma, pode-se citar também a crise que aconteceu no século XV, na qual ouve um esgotamento de recursos naturais e as pessoas passaram fome.Logo, essas duas citações são paralelas e trazem a mensagem de que a sociedade anda inconsciente e não tem noção do benefício e importância da natureza.                Além disso, é importante reforçar o quanto a tecnologia pode auxiliar a natureza.Nesse interim, a tecnologia é uma aliada importante na preservação ambiental, pois permite um monitoramento rápido e eficaz, ajuda a planejar o manejo dos recursos e na autuação de irregularidades.Com isso, é observado o quanto essas duas frentes podem se ajudar e coexistirem.                 Assim, é notório a importância da valorização da tecnologia na transformação saudável da natureza e quais são os empecilhos para isso acontecer de forma leve.Sabendo disso, é necessário que se crie projetos que visem conscientizar a população sobre o quanto o ambiente natural é importante, e uma fiscalização mais rigorosas nas empresas, pois quando uma instituição so visa lucro, o meio ambiente sofre com as consequências.Com isso, tendo consciência e apoiando essa causa, a sociedade se afastará do viés negacionsta proposto por Pascal."
"DESTRUIÇÃO DA NATUREZA",78,"Em diferentes proporções, movimentos como o desmatamento das florestas durante as Grandes Navegações e aumento da poluição após a eclosão da Primeira Revolução Industrial contribuíram para a evolução da humanidade a caminho de seu fim. Mesmo com a possibilidade de alteração e salvação da vida na Terra, o egoísmo humano motivado pela ganância e busca por capital impedirá que o caminho seja revertido, juntamente com a inefetividade dos movimentos sociais ambientais, uma vez que há muito pouco tempo para que mudanças significantes sejam feitas para a recuperação da natureza. Outrossim, conclui-se que, apesar de tentativas recentes por parte de governos internacionais, a vida na Terra está caminhando para seu fim. Grandes empresas e comércios como o agronegócio são responsáveis pela maior taxa de emissão de gás carbônico (CO2) na atmosfera e consumo de água em escala mundial. Impulsionados pela lógica capitalista de que dinheiro deve ser priorizado, multinacionais não se preocupam com as consequências a longo prazo de suas ações como o esgotamento de recursos naturais e, com isso, financiam o desmatamento, estudos científicos que dizimam espécies animais e outros projetos prejudiciais à natureza em busca de capital. Entretanto, apesar da humanidade caminhar para a impossibilidade de vida na Terra, os maiores causadores deste problema na atualidade não são culpabilizados por esta e não investem em projetos que mudem os meios de produção para medidas sustentáveis. Com isso, as sociedades são direcionadas a um futuro no qual nada poderá ser feito para reverter as ações atuais. Ademais, iniciativas internacionais recentes como o Acordo de Paris sobre a queda na emissão de CO2, embora sejam promissoras, não são adotadas em larga escala pela população mundial, o que enfraquece a possibilidade de esperança para o futuro da humanidade no Planeta Terra. Organizações Não-Governamentais (ONGs) focadas em problemas ambientais, embora sejam uma iniciativa positiva para a busca de conscientização, sofrem com a falta de adesão e verbas para realizarem diferença efetiva nas pautas as quais defendem. Desse modo, devido a séculos de destruição à natureza, nenhuma mudança emergencial conseguirá obter resultados capazes de mudar o curso para qual a sociedade se encaminha. Em suma, é possível inferir que, apesar de tentativas incessantes, nada será capaz de alterar o futuro das populações. Sem o trabalho conjunto de grandes empresas e ONGs visando a proteção do meio ambiente, a natureza será cada vez mais degradada e sua recuperação será impossível. A ganância dos homens e interesse em resultados imediatos e conquista monetária resultará em maior prejuízo global e, com isso, a vida na Terra tende a ser perdida. "
"LÍNGUA E SOCIEDADE",74,"         A linguagem é o maior recurso que o ser humano possui para alcançar tudo quanto mais deseja na vida. Por isso cada pessoa depende da linguagem para viver em sociedade, pois ela é a base da cultura e dificilmente haveria civilização se não fosse o emprego da linguagem e o poder das palavras. É através delas que influenciamos e provocamos as suas mudanças, quase sempre, necessárias para construir uma vida melhor.     De acordo com o escritor Joseph Jaworski "" É através da linguagem que criamos o mundo, porque ele não é nada até que o descrevemos"". E quando nós o descrevemos, criamos distinções que governam as nossas ações. Visto que, a linguagem não descreve o mundo que vemos, mas reconhecemos o meio em que vivemos pela linguagem que descrevemos.             Faz-se mister, ainda, salientar que  o Brasil é um país de grande extensão territorial, logo, soma-se várias culturas que influenciam a fala regional e comunicação entre si. Ademais, algumas situações são vivenciadas, como o ""bullying"", pois muitos indivíduos são discriminados por suas singularidades ao se expressarem, pois não usam a norma padrão. A propósito, a comunicação de pessoas de diferentes idiomas se dá ao aprendizado, já que, linguagem e comunicação não é feita apenas pela fala, mas também pela dedução e mímica a fim de entendimento, como ocorreu com a chegada dos Portugueses ao Brasil em 1500 e tiveram o primeiro contato com os nativos.       Infere-se, portanto, que ainda há entraves para garantir a solidificação de politicas que visem à construção de um mundo melhor. Dessa maneira, urge que Ministério da Cultura, em conjunto com as escolas, devem criar programas e mídias para incentivar o aprendizado de uma segunda língua. Deve ser feito palestras sobre as diversas formas de linguagem e como conviver com as diferenças, por meio de ajustes no ensino e modo de convívio. Dessa forma, o Brasil poderia superar o preconceito linguístico e aprenderá conviver com as diferenças.      "
LIBERDADE,70,"A Revolução Francesa com o lema ""Liberdade, Igualdade, Fraternidade"", idealizava a democracia liberal e derrubava dos governos opressores. Este é apenas um fato na história que demonstra a luta do homem pela sua liberdade na prática do livre-arbítrio, ou seja, uma das mais expressivas manifestações de racionalidade. Contudo, sendo o homem um ser social, este realmente é plenamente livre?Segundo o filósofo Santo Agostinho, o ser humano, sendo criado por Deus e vindo dele, tem em si o livre-arbítrio e a bondade. Atualmente, porém, tal aforismo do pensador é passível de objeção, visto que a conduta humana parece sofrer a influência de fatores como o ambiente, como sugeriam os pensadores do determinismo científico, como Hippolyte Taine, teoria representada na obra naturalista ""O Cortiço"", de Aluísio Azevedo. Nessa perspectiva, a sensação de liberdade está condicionada ao meio, ou seja, como sujeito histórico e social, o homem é influenciado pelos valores morais, éticos, culturais e religiosos de sua comunidade, segundo tempo e espaço. Logo, o seu pensamento, desejo e vontade estão subjugados conforme o contexto social que integra. Ademais, ao indivíduo dotado de razão, deve ser atribuída a responsabilidade pelas suas atitudes ligadas diretamente à prática da liberdade, pois, segundo sua consciência, pode escolher seu modo de agir por iniciativa moral ou vontade própria. Partindo desse pressuposto, o uso do livre arbítrio confere ao homem sua identidade, uma vez que se deve tornar responsável pelas suas práticas cotidianas advindas de suas formações ideológicas, resultantes do ser sujeito histórico e social. Isto complica dizer que o indivíduo precisa estar consciente de suas atitudes e que tem seus limites, assim como sua liberdade. O movimento anti-vacina, por exemplo, tornou-se uma ameaça global, uma vez que reverte o progresso já alcançado no combate de doenças erradicadas e dificulta a prevenção de outras doenças, como a Influenza e o Covid-19. Dessa forma, é inevitável que ao indivíduo seja imputada a responsabilidade, visto que compromete o bem-estar coletivo. Outrossim, é necessário analisar a questão da racionalidade no âmbito da liberdade, ou seja, cada um possui sua própria razão? Conforme o filósofo Foucault, as relações de poder que dominam o pensamento humano estão distribuídas e disseminadas em toda a sociedade, isto é, há uma rede de discursos que disciplinam e controlam os indivíduos. Por conseguinte, as pessoas são orientadas e coagidas a raciocinar de determinada maneira, impedindo veladamente a exercer sua liberdade de pensar. Por essa razão, a autonomia da liberdade de raciocínio é ilusória, como se pode comprovar no caso da escolha de conteúdos oferecidos pela internet, já que são ofertados com base em algoritmos que conhecem previamente os gostos de cada indivíduo, restringindo, assim, subliminarmente as suas escolhas. Embora a liberdade tem como lugar ideal para se manifestar a razão, esta ainda está submetida e a conceitos, ideologias e valores impostos pelo grupo social.Portanto, apesar do homem buscar constantemente a liberdade, este ainda está condicionado a agir de acordo com o contexto a que pertence, aos valores que é submetido e às formas coercitivas que lhe são impostas. Por isso, a fim de que possa conduzir e construir sua própria história, mesmo subordinado a tais condições, ainda lhe é necessário romper com o determinismo e com as redes de poder que o impedem de exercer e de manifestar sua razão libertadora."
"SANEAMENTO BÁSICO",60,"""O importante não é viver, mais viver bem, segundo Platão, a qualidade de vida tem tamanha importância, que ultrapassa a da própria existência"", o saneamento básico é um problema que vem de muito tempo, prejudicando a população é a economia do país. Os fatores como distribuição de forma desigual e a falta de infraestrutura, contribui para essa situação. Segundo pesquisas o saneamento básico é extremamente necessário, para saúde e bem estar dos cidadãos já que aumenta a sua expectativa de vida e sua produtividade. Regiões que tem um bom serviço de saneamento, tendem a ter menos doenças e problemas de saudades, já que não estão expostos a bactérias transmitidas por animais ou fezes. Aumentando então a produtividade da região possibilitando o crescimento da renda na mesma proporção e trazendo a valorização dos imóveis. Por tanto fica ciente a necessidade de uma tomada de medidas que façam mudanças como, coleta e tratamento do esgoto, melhora no abastecimento de água, coleta de lixo, etc. Alçando então uma melhoria nas cidades, empresas, país e na qualidade de vida.  Dá assim para os indivíduos a proposta de não apenas viver, mas viver bem."
"CRISE HÍDRICA NO BRASIL",50," A real da situação de visão mundial a esse respeito, a falta de água é inevitável, é uma preocupação para o bem de todos, por tanto a situação de seca hoje no país já está levando a racionamentos.  A principal causa são os desmatamentos, queimadas dos canaviais que acabam exalando o carbono, pessoas que tem problemas respiratórias sofrem muito e a maior preocupação são a morte dos animais. Nos dias atuais estão acontecendo muitas dessas situações, pessoas estão reclamando de fuligem nas casas, pelas informações o calor está além do normal, realmente pelo oque dizem está acontecendo um aquecimento global! Se os seres humanos não se conscientizarem e cuidar do nosso planeta, porque dependemos de um ambiente saudável para sobrevivermos.  O futuro é incerto!  Infelizmente o mundo esta sendo destruído pelas pessoas aos poucos, o principal causador é o ser humano."
"ABAIXO O PRECONCEITO",60,"No mundo de hoje              Na época que vivemos existe muito machismo quando envolve nos mulheres, ainda mais quando e voltada para uma função masculina, as atenções são totalmente voltada para esse quesito.              Nós mulheres fomos ganhando espaço aos longos dos anos e mostrando que somos capazes de exercer qualquer função seja ela masculina ou não.              Porem não somos tão bem vistas pela sociedade machista, não podemos comentar um erro que somos ofendidas, julgadas e menos prezadas por toda sociedade , ate algumas mulheres ficam contra nos mulheres.             Ate quando vai existir esse preconceito, pois já provamos inúmeras vezes do que somos capazes , do quanto damos conta do recado, que exercemos nos funções tão bem como as funções de casa. Seja ela qual for a função , devemos ser respeitadas por toda sociedade , é quando erros não devemos ser  apedrejadas; Pedidos de desculpas devem ser pedidos em qualquer situação.  "
"ABAIXO O PRECONCEITO",68,"É evidente que os ""direitos iguais"" muitas vezes acontece só no papel, se olhar na prática não acontece como deveria. Atualmente, existem leis que cobrem as mulheres de não serem alvos de atos machistas, como no 5º Artigo da constituição, que diz que todos são iguais perante a lei. E isso engloba fatores como número de vagas para homens e mulheres e tudo que está relacionado a igualdade de gênero. A razão desse enaltecimento de ações machistas nos dias de hoje, e devido ao indigna mento de práticas como essas. Nesse sentido, faz-se necessário analisar a problemática, de modo a garantir meios para solucioná-la.Em primeiro lugar, é necessário ressaltar o impacto da sociedade mais antiga para o agravamento de hábitos desse tipo. A família nesse aspecto e muito importante, pois ela e quem deveria ensinar como a pessoa deve-se portar ao se deparar com situações que exigem respeito. Na década de 70, as mulheres eram incentivadas a terem filhos e cuidar da casa para seu marido, e muitas pessoas ainda travam nesse pensamento de que o homens são superiores as mulheres. E de certo modo quando os homens se sentem ameaçados, usam de expressões baixas, ou até, força bruta, que foi o que ocorreu no dia  8 de maço de 1857, quando aproximadamente 200 mulheres morreram por protestar por direitos iguais.Ademais, quando não se tem a educação correta por parte da família, a escola deveria ser o mecanismo de correção para isso. Implementar algo desse tipo muitas vezes e mal visto pelos familiares, pois passa por cima dos ensinos passados por parte deles. Mas, a escola não só deveria ser para ensinar de forma curricular, mais ensinar e corrigir a pessoa ser um cidadão Nesse sentido, é notória que a falta de respeito sobre as mulheres nos dias atuais e um assunto que não deveria existir, mas como ainda ocorre deve-se buscar meios para mudança de comportamento. Faz-se necessário, então, que o Ministério da Mulher, em parceria o Ministério da Educação deveria implementar aulas de como ser um cidadão melhor, não somente em respeito a mulher, mas ensinar a se tornar uma pessoa melhor em todos os aspectos, a fim de diminuir casos de machismo e melhorar a sociedade com o um todo. Só assim, com a população bem instruída, que casos de desrespeito a mulher irá diminuir. "
"A IMPORTÂNCIA DO TRABALHO E O PROGRESSO SOCIAL ",84,"O homem vem evoluindo ao longo dos séculos com diversas maneiras de se facilitar a vida mundana, com esses processos evolutivos e estudos acerca da vida, tornam-se as pessoas feitas de essência e inteligência que permitem recursos inovadores a cada instante. Com essa vivência, não pode-se esquecer dos recursos dados pela natureza e o quanto sua preservação é necessária. Primeiramente, todo o arsenal de iguarias humanas é oriundo da natureza, fazendo-se assim necessária a preservação por meio da agricultura sustentável, das coletas seletivas, áreas de preservação ambiental, evitar poluição provinda das fábricas e cautela com os rios, o que não é praticado, visto que faltam muitos projetos de conscientização acerca desses problemas e que o Planeta Terra encontra-se em situação crítica. Por conseguinte, é necessário que os municípios se atentem a meios sustentáveis de lidar com o lixo, aos problemas causados pela dispensa de esgotos em rios limpos, e na forma como são educadas as crianças, já que essas são a esperança de um futuro melhor para o mundo. É notável lembrar também que o Planeta em harmonia torna as pessoas mais harmoniosas. Como citado acima, enfrenta-se um caos ambiental, onde é de suma importância que haja intervenção do Ministério do Meio Ambiente para  elaborar projetos de lei que aumentem a penalidade de descumprimentos de normas que afetem a natureza, e que este juntamente com o Ministério da Educação elaborem reuniões informativas para as instituições de educação de ensino fundamental e médio afim de combater ações humanas abusivas para a natureza e estabelecer o equilíbrio fundamental entre a natureza e o ser humano. "
"DESIGUALDADE SOCIAL",56," Hoje em dia no Brasil grande parte da População Brasileira sofrem com a desigualdade na distribuição de alimentos e a fome de forma maldosa.Os fatores soman aumento de fome no Brasil,pois o índice de desemprego e informalidade ,a inflação e o amento de preços também não se esquecendo do aumento de preços de alimentos e desperdício .A maioria da sociedade Brasileira sofrem com a fome e também com a desigualde social .Perante a lei da constituição 1988 ,diz que todos terão direitos sociais a educação ,a saúde ,o trabalho a moradia e todos aqueles envolvidos por essa lei.A Desigualde social e um caso que acontece muito no prasil ,pois há alguns casos que as pessoas olham mais para o lado social ou seja o seu tipo de classe como Auta ,média ,baixa.No texto o Bicho do famoso Manuel Bandeira retrata exatamente a realidade de inúmeras famílias brasileiras que conseguem seus sustento em lixões de céu abeto.Então essa realidade trás consigo uma série de conseguencias ,para o ambiente ,como também social.Segundo o levantamento postado pelo jornal O Globo ,fez com que a geração de resíduos,no Brasil, aumentasse três vezes mais do que a nossa população em apenas quatro anos .Chegando na conclusão da primeira e segunda parte do texto que, deveríamos ser solidários com aqueles que tem pouco e professor da queles que tem muito para ensina-los que todos nós somos iguais e o problema da desiguldade não e a falta de dinheiro para a muitos e sim excesso nas mãos de poucos .Como diz (Milton Santos geógrafo escritor )""Existem apenas duas classes sociais, a dos que não comem e a dos que não dormem com medo da revolução dos que não comem."""
"A IMPORTÂNCIA DO TRABALHO E O PROGRESSO SOCIAL ",52,"O trabalho de uma forma geral e necessário, pois muitos necessitam disso para sua sobrevivência na vida, mais a questão do desemprego anda muito frequente em diversos lugar. Muitos necessitam do trabalho para se matem, para nao deixar nada falta pra dentro de casa, um dos maiores casos hoje em dia e a questão da falta de emprego, na vida das pessoas.Tudo que você se prontifica a fazer hoje em dia necessita de um serviço onde a maioria das pessoa se encaixem e que tenha uma renda aonde possa sustenta a família. "
"DIFICULDADES DE COMUNICAÇÃO",0,
LIBERDADE,40,"A liberdade pode ter diferentes significados, por exemplo, no cristianismo ela se refere ao livre arbítrio de cada indivíduo o qual é livre para servir o seu Criador e o seus irmãos, já no Direito ela se refere a liberdade de cada cidadão com relação aos seus direitos civis, na Filosofia ela se classifica como independência do ser humano, autonomia e auto-determinação. Porém, cada um tem um sentido pessoal, a liberdade pode significar a quebra de barreiras pessoais e sociais, a qual permite que o cidadão quebre as regras impostas pela sociedade e desvie dos seus próprios conceitos, mas também se refere ao modo de viver livre, na verdade ela é única para cada ser. Assim, Albert Einstein já dizia que para ele a liberdade do homem não era algo apenas exterior, pois mesmo com a pressão extrínseca que  cada individuo pode sofrer, ele age de acordo com as suas necessidades interiores, ou seja, o ser humano vive rodeado de leis e regras as quais podem pressiona-lo, mas mesmo assim ele permite que suas vontades   e pensamentos sejam mais importantes. Dessa forma, o cidadão é capaz de ter ações com base no que acredita, porém se elas violam alguma regra social ele deve se responsabilizar por ela. Sendo assim cada um tem o direito de ser livre e de ter o exercício do livre arbítrio com tanto que compreenda que a liberdade pessoal se difere da social já que uma te permite tomar decisões e  infringir suas próprias opniões, e a outra te permite que seja livre mas que arque com suas consequências e responsabilidades. Sendo assim, a  Liberdade no Direito se refere ao direito do cidadão de expressão o qual permite que o indivíduo possa obter informações, expor seus pensamentos e ideologias, receber e transmitir ideias  contido na Declaração  Universal dos Direitos Humanos artigo 19. Além desses a DUDH diz  que o cidadão pode ter o livre arbítrio para se locomover e escolher meios sociais como: moradia, nacionalidade, emprego entre outros fazendo com que o ser humano seja responsável por tudo aquilo que acontece em sua vida, já que todas são reflexos de sua tomada de decisões, ou melhor, todas essas são consequências do seu ato de liberdade. Portanto. o ser humano deve usar o seu poder e direito de liberdade, mas deve reconhecer que juntamente a ela  vem suas consequências e responsabilidades de todos seus atos, sejam eles corretos ou não. Já dizia o Dramaturgo George Bernard Shaw "" a liberdade significa responsabilidade e é por isso que tanta gente tem medo dela"". Sendo assim, a liberdade traz a felicidade de ser livre e sem limites e a infelicidade de carregar suas incumbências. Esse é um direito imprescindível  e fundamental que forma caráter e personalidade a qual  é capaz de mostrar os verdadeiros sentimentos que cada indivíduo carrega com sigo mesmo. "
FELICIDADE,68,"Simples felicidade Quando crianças as coisas mais simples e bobas são considerados felicidade, deixam-nos felizes, mas quando vai se passando o tempo e crescemos parece que selecionamos o que vai nos deixar bem, começamos a rotular nossa felicidade. Isso causa um impacto muito forte em nossas vidas, pelo fato de que nossas escolhas geram consequências e muita das vezes não como planejamos.Felicidade é uma emoção, uma emoção que causa sensação boa. Quando adultos temos traumas, que nos afasta de sermos felizes, nos afasta de permitir algumas pessoas e atitudes, mesmo se a intenção for algo positivo, nos privamos para que não nos decepcionemos.Muitas das vezes nos acomodamos no que nos faz bem, como forma de proteção por achar que ali já encontrou felicidade, outros momentos insistimos em nos desgastar porquê achamos que não é o suficiente, podendo até não dar valor nas simples coisas nos deixam bem e felizes. Consequência da nossa ambição, que prejudica nossas emoções.A terapia nos ajuda a demonstrar como podemos achar a felicidade, sem nos desgastar, sem nos prejudicar. Não podemos achar que sempre que algo vai ruim é porque vai vir consequências boas, alguns momentos não vão. Por isso temos que pensar bem no que queremos e que abrir mão do que nos machuca para ficarmos bem, é uma forma de ser feliz."
"TELECONSULTA MÉDICA",40,
"BOM HUMOR",80," Em tempos hodiernos, verifica-se uma exaltação da felicidade pelos meios de comunicação, principalmente, por programas de televisão e nas redes sociais, em que os problemas são deixados de lado para oferecer ao receptor um momento de descontração. Deveras, é fundamental que o bom humor seja semeado, pois se somente fossem tratadas as dificuldades do dia a dia as pessoas ficariam desanimadas e não enfrentariam os obstáculos da vida. Diante dessa perspectiva, torna-se imperioso abordar a importância do bom humor na rotina da sociedade.  O ditado popular ""rir é o melhor remédio"" faz-se coerente, posto que estudos científicos mostram que uma pessoa bem-humorada sofre menos do que pessoas estressadas, o que permite que o bom humor seja um bom aliado no cotidiano da população, já que sêmea-lo ajuda as pessoas a encarar as dificuldades da vida com otimismo, fato que torna a vida mais tranquila e eleva os níveis de satisfação pessoal e profissional. Além disso, praticar o bom humor é de extrema importância para a saúde mental tanto do próprio individuo, bem como das pessoas com quem estabelece contato, tendo em vista que pessoas alegres tornam qualquer ambiente mais agradável e produtivo, não deixando, portanto, que a tristeza prevaleça e ajudando no combate à pensamentos pessimistas.  Diante do atual cenário de supervalorização de bens materiais, o bom humor destaca-se como imprescindível nas relações sociais, uma vez que, na atualidade ,a felicidade é vinculada à ideais capitalistas. Isso ocorre devido ao consumo ser instigado como uma busca pela felicidade e tal problemática provoca nas vítimas da profunda desigualdade social um sentimento de incompletude e esse fato aliado à hodierna luta por produtividade e qualificação gera cidadãos pessimistas, que escondem a tristeza por trás de um sorriso falso, prejudicando a saúde psicológica e física. No entanto, é fundamental que o bom humor prevaleça para que os problemas sejam encarados e as pessoas tenham perspectiva de melhora.  Diante do exposto, depreende-se que cultivar o bom humor é imperioso para a qualidade de vida do corpo social. É indubitável que os estados de humor é diretamente proporcional aos índices de felicidade e satisfação, sendo, portanto, o bom humor um instrumento importante para combater o ideal de felicidade disseminado pelo mundo capitalista e ,principalmente, uma ferramenta indispensável para levar uma vida alegre e leve, em que os obstáculos sirvam como aprendizado e que o sorriso sincero amenize as dores e injustiças causadas pelo homem. "
"PERSISTÊNCIA E CONQUISTA ",82,"    ´´Maria I´´ obra da historiadora Mary Del Priore retrata a história da vida da rainha D.Maria I, que reinou durante vários anos, quebrando todos os paradigmas de uma época em que as mulheres eram excluídas da sociedade e não possuíam direitos próprios. Atualmente, esse tabu foi quebrado e todos são iguais perante todas as diferenças. Por isso, torna-se necessário o debate e incentivo acerca de conquistas e propósitos, onde os mesmos que nunca devem ser deixados de lado, pois uma hora irão acontecer.    Em primeira análise, é notável que quando se persistente seja com um trabalho individual ou por trabalho grupal, todo o esforço colocado em prática terá um bom propósito. Segundo o matemático Albert Einstein: ´´A criatividade é a inteligência se divertindo´´. Outrossim, ocorridos como a construção das pirâmides do Egito merecem destaque, devido ao fato de ter sido uma grande conquista para o homem fazer monumentos gigantes que prevalecem até os dias de hoje, sendo consideradas uma das 7 maravilhas da antiguidade.    Em segunda análise, Isaac Newton físico e matemático disse: ´´´Toda ação tem uma reação´´. Além disso, muitos famosos ganharam a vida, graças a seu talento e carisma. Um dos grandes nomes da televisão brasileira é o empresário e apresentador Silvio Santos, que de camelô das ruas do Rio de Janeiro, tornou-se dono de um imenso patrimônio graças a seu esforço e perseverança. Ademais, cantores como Carmem Miranda e Michael Jackson também construíram grandes patrimônios, tornando-se conhecidos mundialmente.    Dessarte, o Ministério da Educação deve elaborar projetos, com o intuito de incentivar os alunos a usarem sua criatividade, a fim de não desistirem de seus objetivos e perder o foco. As escolas, em parceria com as famílias, devem inserir a discussão sobre esse tema tanto no ambiente doméstico quanto no estudantil, por intermédio de debates e palestras, com a participação de pessoas realizadas de diversas áreas, com o objetivo de despertar nas crianças a valia desde cedo por vários assuntos. Feito isso, a frase de Einstein é colocada em prática. "
"MOBILIDADE URBANA",54,"A mobilidade urbanaA cada dia podemos perceber o quanto a população aumentou, seja nas ruas, nos mercados, em hospitais. Sendo assim, é muito comum ver muitos automóveis nas ruas que podem ocasionar em trânsitos. Porém, muitas pessoas procuram usar esse meio de locomoção por ser mais prático, por economizar tempo, e ter comodidade. Mas além dos benefícios, essa atitude pode gerar problemas para as cidades, poluição, alto índice de assaltos e acidentes e entre outros. Para isso, é muito importante usar os automóveis como meio de locomoção apenas quando for realmente necessário, pois assim evita o congestionamento e outros problemas criados. E por esse motivo o indicado é também, andar a pé, andar de bicicleta, para proporcionar melhorias na saúde e também no ambiente."
"CULTO AO CORPO",78,"       A prática de exercícios físicos de maneira caseira, quando usada de forma gradual e com a supervisão correta, é fundamental para a saúde. Dessa forma, a prática de esportes e treinos cardiovasculares, ajuda na perca de peso, aumenta a vitalidade mental, e contribui para o bem estar social. Todavia, indo para o ramo profissional, acontece o oposto, levando a uma série de irregularidades físicas, pressões psicológicas e rotinas desequilibradas.       Cientistas das universidades de São Paulo (USP) e de Campinas (Unicamp), abordaram estudos capazes de comprovar que o excesso de exercícios físicos pode afetar o coração e o figado caso não tenha o repouso adequado. Em geral, atletas de alto rendimento podem treinar até 12 horas por dia, mantendo uma alimentação regular e esforço excessivo. Dessa forma, tais práticas podem levar a doenças como Rabdomiólise (ruptura muscular) ou Vigorexia (transtorno psicológico).       Cerca de 212 mil pessoas morrem de mal súbito por ano, nome esse que vem sendo cada vez mais associado ao treino físico excessivo feito sem monitoria e em excesso, de acordo com o médico Sergio Rocha Piedade. O excesso atinge principalmente o coração e o psicológico, a exemplo da ginasta brasileira Simone Biles que anunciou a sua desistência da competição das Olimpíadas de Tóquio 2021 para tratar sua saúde mental.       Logo, para evitar percas inesperadas, o profissional deve regularizar sua rotina fisica, com pausas e repousos, e diminuição do tempo de prática. É um processo cabível a si, com moralização e trabalho psicológico. Portanto, de forma intensa e sem supervisão, o preparo de grandes eventos esportivos acaba sendo o ápice para o fim da carreira do atleta, de forma brusca e sem avisos prévios."
"A ARTE DE VIVER BEM  ",62,"      Atualmente com a correria diária da sociedade tornou-se automático as reclamações, a falta de um ?bom dia?, ?boa tarde?, ?boa noite? ou ?obrigado (a)?. São hábitos adotados que tem cada vez mais adoecido a população.        Muitos ainda não sabem mas o segredo para uma vida de qualidade é o otimismo e bom humor. É com eles que energias positivas entram no cotidiano. De fato, com os empecilhos e desafios do dia a dia é difícil manter um sorriso no rosto mas acredite um bom humor não é esconder-se atrás de um bom sarcasmo e um sorriso falso. Tal hábito começa a partir do momento em que acorda e decide se vai deixar tudo abalar o seu dia ou não.          É importante ao acordar ser grato, independente de religião, mas ser grato por ter a oportunidade de escrever mais um dia de vida. A gratidão está interligada com o otimismo e que gera o bom humor. Um pessoa grata torna o dia de pessoas ao seu redor mais emocionante, atrás de muitos sorrisos forçados existem feridas em seres humanos que as vezes precisam apenas de ?bom dia? para entenderem que são necessários e importantes. "
"LÍNGUA E SOCIEDADE",60,"    A barreira linguística hoje em dia de fato existe, mas essa barreira com passar do tempo e com a maior acessibilidade vem sendo menor com a popularização da internet ou seja com mais pessoa tendo acesso a computadores e internet pode-se aprender maior variedade de línguas como por exemplo o inglês e sim a língua falada é importante para nos como sociedade dês dos tempos primórdios onde povos mais antigos ja criavam formas de se comunicas e deixar registrado sua cultura.    Entao sim hj em dia existe essa barreira mas acredito que ela vem sendo menor a cada vez que pessoas tem mais acesso a informação."
"ANALFABETISMO FUNCIONAL",72,"No que se refere, as causas dos analfabetos não são 100% culpas das escolas públicas, e sim da situação da maioria dos alunos que, preferem largar a escola para trabalhar e não passar fome do que ir para a escola, por exemplo: nas favelas tem muitas pessoas com o nível baixissímo de renda e, com a ausência da ajuda do governo em relação às crianças passando fome, elas preferem escolher ajudar a mãe em casa no caso trabalhando do que ir estudar. Certamente, a analfabetização na sociedade é um grave problema que pode influênciar no trabalho e em qualquer lugar, além disso também pode atrapalhar a relação com familiares e amigos. Segundo uma pesquisa feita pelo ibge estima-se que, em 2020 o Brasil tem 11 milhões de analfabetos, e com a suspensão das aulas presenciais por quase 2 anos devido ao Coronavírus (COVID-19) a alfabetização foi prejudicada ainda mais. Ademais, destaca-se o enfraquecimento do ensino Brasileiro nas escola públicas que é o resultado de baixos investimentos, desvio de dinheiro público e desvalorização do professor. Acrescenta-se também um grave problema, pois de acordo com Um estudo elaborado pelo IMD World Competitiveness Center, o Brasil está em sua pior posição na área de educação dentre 64 nações ele está em 64°, em ultima posição, esta é a pior posição que o país ficou desde 2019. Dessa forma, pecebe-se a ineficácia do país e do mundo todo no que se refere aos analfabetos. São necessárias políticas públicas que permitam maiores acessos à educação, emprego e renda para as crianças não precisarem lidar com a questão de trabalhar para comer ou estudar. Ademais,são indispensáveis investimentos nas áreas de educação do país, como novas escolas, reforma nos ambientes escolares e transporte escolar para as escolas públicas."
